filename,Safety,Belonging,Naturalness,Shared,Privacy,Convenience,concept_text
img_0041.jpg,4,3,4,2,4,3,Garden alcove retreat
img_0042.jpg,4,3,2,4,3,4,Curved agora by the sea
img_0043.jpg,4,3,3,4,2,3,Modern agora under the sun
img_0044.jpg,4,3,2,4,2,4,Marble gallery under the sky
img_0045.jpg,4,3,2,4,2,4,Agora of modernity
img_0046.jpg,4,3,5,2,4,3,Secluded hillside retreat
img_0047.jpg,4,4,5,3,4,3,Tranquil villa among olive groves
img_0048.jpg,4,4,3,5,3,5,Modern agora gathering
img_0049.jpg,4,4,3,5,3,4,Open atrium gathering
img_0050.jpg,4,2,1,3,2,4,Modern agora of style
img_0051.jpg,4,3,2,3,4,4,Modern agora of reflection
img_0052.jpg,4,3,4,3,3,4,Tranquil courtyard by the grove
img_0053.jpg,4,3,4,3,4,4,Forest-lined promenade
img_0054.jpg,4,3,3,4,3,4,Agora of modern connections
img_0055.jpg,5,4,3,4,2,5,Agora of Knowledge
img_0056.jpg,4,3,5,4,3,4,Harmonious pavilion in nature
img_0057.jpg,4,4,5,3,3,4,Green sanctuary under the sky
img_0058.jpg,4,3,4,3,4,4,Modern courtyard serenity
img_0059.jpg,4,4,5,4,3,4,Atrium of communal gatherings
img_0060.jpg,4,3,2,3,3,4,Modern Acropolis View
img_0061.jpg,4,3,2,4,3,4,Modern agora facade
img_0062.jpg,4,4,3,4,3,5,Agora-inspired communal kitchen
img_0063.jpg,5,4,4,3,3,5,Sunlit atrium of tranquility
img_0064.jpg,4,4,5,4,3,5,Open-air dining by the grove
img_0065.jpg,4,4,5,4,3,4,Garden veranda in afternoon light
img_0066.jpg,4,4,4,3,3,4,Terraced garden retreat
img_0067.jpg,4,4,5,4,3,4,Atrium of communal harmony
img_0068.jpg,4,3,4,3,3,4,Harmonious courtyard gathering
img_0069.jpg,4,4,3,5,3,5,Agora-inspired community hub
img_0070.jpg,4,3,5,4,3,4,Tranquil courtyard oasis
img_0071.jpg,4,3,5,2,4,3,Secluded stone retreat
img_0072.jpg,4,3,5,3,4,4,Harmonious atrium sanctuary
img_0073.jpg,4,3,5,3,4,3,Sanctuary on the hill
img_0074.jpg,4,3,2,4,3,4,Modern Agora with Urban Views
img_0075.jpg,4,3,2,4,3,4,Modern acropolis overlooking the sea
img_0076.jpg,4,4,5,5,3,4,Agora of green terraces
img_0077.jpg,4,4,5,5,3,4,Terraced gardens of the agora
img_0078.jpg,4,4,5,3,4,3,Secluded lakeside retreat
img_0079.jpg,4,3,5,2,4,3,Secluded lakeside retreat
img_0080.jpg,5,4,5,3,4,5,Tranquil courtyard embrace
img_0081.jpg,4,3,5,2,4,3,Secluded hillside sanctuary
img_0082.jpg,4,4,5,3,4,4,Mediterranean courtyard retreat
img_0083.jpg,4,3,5,3,4,3,Secluded villa in serene landscape
img_0084.jpg,4,4,5,3,4,5,Sunlit library alcove
img_0085.jpg,4,4,3,4,3,4,Modern symposium retreat
img_0086.jpg,4,3,5,4,3,4,Atrium oasis amidst columns
img_0087.jpg,4,4,5,3,3,4,Garden courtyard of tranquility
img_0088.jpg,4,3,3,4,2,4,Vibrant agora of colors
img_0089.jpg,5,4,3,4,3,5,Modern agora gathering
img_0090.jpg,4,3,4,3,4,4,Modern agora under the open sky
img_0091.jpg,4,3,4,4,3,4,Agora of community leisure
img_0092.jpg,4,4,5,3,4,3,Verdant villa retreat
img_0093.jpg,4,3,4,4,2,4,Open atrium with panoramic view
